Product ID,Customer ID,Rating,Review Text
PROD921,CUST7299,1,Would definitely buy again.
PROD872,CUST8023,1,"Not satisfied, poor quality."
PROD541,CUST4317,1,"Better than expected, great performance."
PROD246,CUST5608,1,Customer service was unhelpful.
PROD326,CUST4451,1,Too expensive for the quality provided.
PROD999,CUST1684,1,The item stopped working after a week.
PROD131,CUST8633,1,"Fantastic build quality, feels premium."
PROD413,CUST1124,1,"Great product, works as expected!"
PROD332,CUST2643,1,Product does not match the description.
PROD359,CUST6440,1,Customer service was unhelpful.
PROD964,CUST2981,1,Fast delivery and excellent packaging.
PROD591,CUST3223,1,Product does not match the description.
PROD620,CUST8446,1,"Very easy to use, beginner-friendly."
PROD919,CUST8848,1,Too expensive for the quality provided.
PROD568,CUST1340,1,"The instructions were unclear, difficult to set up."
PROD297,CUST5243,1,Highly recommended for anyone looking for this.
PROD574,CUST7209,1,"Very easy to use, beginner-friendly."
PROD899,CUST4304,1,"Fantastic build quality, feels premium."
PROD428,CUST3622,1,Product does not match the description.
PROD460,CUST8378,1,Fast delivery and excellent packaging.
PROD363,CUST3828,1,"Battery life is very short, not as advertised."
PROD736,CUST6818,1,Product does not match the description.
PROD759,CUST3750,1,"Not satisfied, poor quality."
PROD185,CUST9882,1,"Shipping took too long, not satisfied."
PROD555,CUST7248,1,"Arrived damaged, had to request a replacement."
PROD371,CUST1058,1,"Very easy to use, beginner-friendly."
PROD729,CUST8386,1,"Not satisfied, poor quality."
PROD234,CUST1716,1,"Arrived damaged, had to request a replacement."
PROD157,CUST6856,1,Sound quality is below average.
PROD979,CUST9368,1,"Very easy to use, beginner-friendly."
PROD174,CUST1147,1,Highly recommended for anyone looking for this.
PROD249,CUST1913,1,The item stopped working after a week.
PROD931,CUST6693,1,Highly recommended for anyone looking for this.
PROD183,CUST2734,1,Would definitely buy again.
PROD603,CUST3751,1,Sound quality is below average.
PROD229,CUST9144,1,"Very easy to use, beginner-friendly."
PROD127,CUST4138,1,Customer service was unhelpful.
PROD502,CUST6960,1,The item stopped working after a week.
PROD602,CUST1895,1,"The instructions were unclear, difficult to set up."
PROD774,CUST8862,1,"Fantastic build quality, feels premium."
PROD387,CUST8956,1,"Better than expected, great performance."
